CURVE 0
27.7766900241 21.6589730750 4.23855247789e-07
28.1385552741 21.6588734755 0.376559194515
29.0786820780 21.6586147157 1.35526315250
30.0593215506 21.6583448052 2.38099667246
30.3589114984 21.6582623462 2.69432272871
31.3658324957 21.6579852021 3.74175132094
31.6479947381 21.6579075399 4.03540226123
32.6888925105 21.6576210442 5.09667275533
32.9532769989 21.6575482752 5.36596905614
34.0169513280 21.6572555106 6.44033168186
34.2563861403 21.6571896088 6.68196068843
35.3667296737 21.6568839993 7.75619691705
35.5836203221 21.6568243026 7.96604537148
36.7328051407 21.6565080028 9.04827493094
36.9198870106 21.6564565107 9.22445003136
38.1350389154 21.6561220547 10.3082322592
38.2867584983 21.6560802957 10.4435414011
39.5947176641 21.6557202962 11.5425838545
39.6990541818 21.6556915789 11.6302494397
41.1429656216 21.6552941609 12.7580628967
41.1796797099 21.6552840559 12.7867364682
41.9042495276 21.6550846280 13.2847533337
42.7379952720 21.6548551509 13.8531040597
42.7868062539 21.6548417164 13.8863662638
44.3368714832 21.6544150838 14.7692921804
44.4790803554 21.6543759429 14.8491183696
45.8442131173 21.6540002117 15.4485074414
46.0096215194 21.6539546857 15.5175222138
47.1522824992 21.6536401875 15.8825427634
47.2654560876 21.6536090384 15.9167458216
48.3572577775 21.6533085396 16.1281522861
48.4272955435 21.6532892629 16.1410241375
49.5421327797 21.6529824250 16.2341234978
49.5750647596 21.6529733611 16.2366470390
50.7386196902 21.6526531156 16.2129426958
50.7440720332 21.6526516149 16.2128224511
51.2315215316 21.6525174545 16.1463248063
51.9440767951 21.6523213385 16.0480845199
51.9521092937 21.6523191277 16.0469769400
53.2046639483 21.6519743892 15.7370617003
53.2122757406 21.6519722942 15.7351785040
54.0592801197 21.6517391753 15.4384603410
54.5433354356 21.6516059500 15.2683503214
54.5484338051 21.6516045468 15.2661034447
55.9362239187 21.6512225900 14.6458225225
55.9648261516 21.6512147179 14.6307707058
57.3768621824 21.6508260890 13.8806087393
57.4322263783 21.6508108514 13.8481076869
58.8511138986 21.6504203374 13.0101348696
58.9325811093 21.6503979156 12.9589701432
60.3378571907 21.6500111484 12.0726714743
60.4435052501 21.6499820714 12.0041183667
60.7850361830 21.6498880736 11.7816120572
61.8232877896 21.6496023209 11.1051944592
61.9510511657 21.6495671572 11.0217868200
63.2986601953 21.6491962617 10.1395137781
63.4470502753 21.6491554211 10.0442091092
64.7596389869 21.6487941639 9.19840345602
64.9287883019 21.6487476098 9.09364802592
66.2083456162 21.6483954434 8.29778233722
66.3997946904 21.6483427518 8.18538207982
67.6526927671 21.6479979224 7.44681143560
67.8695127272 21.6479382479 7.32772203727
69.1080455354 21.6475973718 6.64545288398
69.3539126521 21.6475297028 6.52119026432
70.5969397990 21.6471875892 5.8884198422
70.8720610855 21.6471118686 5.76198117502
