CURVE 0
-175.877451073 46.6826835475 -16.0579801900
-176.111798064 46.5856138454 -16.0012626566
-176.346331340 46.4884669816 -15.9454843109
-177.112821553 46.1709763401 -15.7700307693
-177.881185287 45.8527096605 -15.6045984016
-178.162623862 45.7361339859 -15.5466064087
-178.444297670 45.6194608745 -15.4899577949
-178.749971399 45.4928466702 -15.4300539302
-179.055911631 45.3661220768 -15.3717315300
-179.367435534 45.2370846513 -15.3140198551
-179.679224362 45.1079374900 -15.2579473680
-180.306303942 44.8481926232 -15.1502706700
-180.934370336 44.5880390050 -15.0492245339
-181.605900035 44.3098822961 -14.9486804588
-182.278311243 44.0313604543 -14.8557321581
-182.951548917 43.7524962790 -14.7703857976
-183.625558014 43.4733125699 -14.6926475428
-183.812752004 43.3957742802 -14.6724216782
-184.000000000 43.3182136208 -14.6527824620
-184.330434774 43.1813430559 -14.6195693247
-184.661027476 43.0444070753 -14.5881828061
-185.503241936 42.6955504232 -14.5165343159
-186.346331353 42.3463313527 -14.4567387783
-186.346335907 42.3463294661 -14.4567384874
-186.346340462 42.3463275796 -14.4567381965
-186.823578969 42.1486489175 -14.4281681077
-187.300979313 41.9509032202 -14.4033995371
-187.818145948 41.7366857861 -14.3808645007
-188.335455027 41.5224093498 -14.3627894236
-188.945516966 41.2697134204 -14.3472087822
-189.555702330 41.0169663671 -14.3378301497
-189.864427439 40.8890882400 -14.3354483717
-190.173168583 40.7612034709 -14.3346543809
-190.481906820 40.6333199059 -14.3354482735
-190.790629023 40.5054429826 -14.3378299235
-191.400814386 40.2526959297 -14.3472083324
-192.010876326 40.0000000000 -14.3627887501
-192.528185404 39.7857235639 -14.3808636374
-193.045352039 39.5715061296 -14.4033984839
-193.522756940 39.3737585452 -14.4281671335
-194.0 39.1760779971 -14.4567373739
-194.000006441 39.1760753291 -14.4567377852
-194.000012882 39.1760726611 -14.4567381965
-194.843059640 38.8268712605 -14.5165302788
-195.685303877 38.4780022746 -14.5881807799
-196.015891074 38.3410685739 -14.6195666379
-196.346331353 38.2041957290 -14.6527801904
-196.533579963 38.1266348150 -14.6724194024
-196.720773339 38.0490967799 -14.6926451319
-197.394823715 37.7698959726 -14.7703881325
-198.068086664 37.4910213279 -14.8557380631
-198.740504942 37.2124965574 -14.9486878932
-199.411960964 36.9343703668 -15.0492211063
-200.040015045 36.6742218484 -15.1502649567
-200.667106990 36.4144718599 -15.2579434731
-200.978890883 36.2853267428 -15.3140149403
-201.290419722 36.1562872730 -15.3717273968
-201.596355195 36.0295646509 -15.4300487595
-201.902033683 35.9029484753 -15.4899534264
-202.183703449 35.7862770380 -15.5466011086
-202.465146065 35.6696996893 -15.6045938156
-203.233554758 35.3514143874 -15.7700358703
-203.999999557 35.0339425569 -15.9454790145
-204.536796417 34.8115940171 -16.0745961911
-205.072508966 34.5896946140 -16.2086117391
-205.607108762 34.3682561278 -16.3475170735
-206.140567366 34.1472903390 -16.4913036091
-206.243471280 34.1046661422 -16.5196377855
-206.346331354 34.0620601047 -16.5481536833
-206.706255074 33.9129748183 -16.6494640072
-207.065629646 33.7641169969 -16.7530002444
-207.859609433 33.4352398008 -16.9902344482
-208.650756327 33.1075360272 -17.2383465801
-209.397321528 32.7982985960 -17.4833269137
-210.141178743 32.4901828490 -17.7380134714
-210.882246695 32.1832224526 -18.0023817183
-211.620444107 31.8774510730 -18.2764071198
CURVE 1
-175.877451073 56.0956511886 -16.2488432604
-175.938954597 56.0545558474 -16.2289329720
-176.000475537 56.0134488694 -16.2091028015
-176.434451892 55.7234751394 -16.0716484205
-176.869271224 55.4329381509 -15.9381780383
-177.304914543 55.1418505916 -15.8086971383
-177.741362860 54.8502251492 -15.6832112041
-178.092581514 54.6155483472 -15.5852919871
-178.444297670 54.3805391255 -15.4899577947
-178.597155600 54.2784027218 -15.4493718361
-178.750104650 54.1762054337 -15.4092739387
-179.097092769 53.9443553851 -15.3202009675
-179.444535438 53.7122016157 -15.2336390250
-179.878815379 53.4220250362 -15.1291248321
-180.313752801 53.1314091422 -15.0285359612
-180.749294838 52.8403892572 -14.9318847054
-181.185422114 52.5489783279 -14.8391751075
-181.551322636 52.3044914158 -14.7645250905
-181.917610240 52.0597458635 -14.6926478573
-182.197698901 51.8725966036 -14.6396051918
-182.478002275 51.6853038769 -14.5881832079
-183.024402034 51.3202112301 -14.4927092949
-183.571506130 50.9546479605 -14.4034002210
-183.785703016 50.8115261767 -14.3701434389
-184.000000000 50.6683375098 -14.3378311674
-184.499866515 50.3343373825 -14.2661849903
-185.000237769 50.0 -14.1996761454
-185.515770443 49.6555320797 -14.1365880959
-186.031728474 49.3107799456 -14.0789573268
-186.548081902 48.9657636153 -14.0267868305
-187.064800769 48.6205031064 -13.9800795993
-187.754313594 48.1597853661 -13.9263042050
-188.444297670 47.6987527463 -13.8822578337
-188.972118548 47.3460741112 -13.8551469001
-189.500118884 46.9932755653 -13.8337291182
