CURVE 0
29.2352742109 61.4039194196 0.0
29.2334744553 61.4005427489 0.145766049258
29.2188858264 61.3731718119 0.852685514569
29.2164993286 61.3686943054 0.886115725544
29.0987580609 61.1530630948 2.49825325589
29.0460893598 61.0566057015 3.21940388780
29.0143852234 60.9985427856 3.58627042800
28.9918403977 60.9582478574 3.84128267667
28.9063634668 60.8054728111 4.34597958881
28.8106956482 60.6344833374 4.91084840382
28.7081989285 60.4557383842 5.50225690933
28.6054306030 60.2765197754 6.09523258626
28.5569533642 60.1940514741 6.36853176670
28.5082462778 60.1111921618 6.60728211910
28.4912580412 60.0822921864 6.69055434430
28.3985881805 59.9246444702 6.92282928328
28.3032559775 59.7664836245 7.15631533344
28.1901702881 59.5788688660 7.43328292771
28.0964376557 59.4272474066 7.65756664778
28.0226621065 59.3079084299 7.83409699995
27.9801750183 59.2391815186 7.93046704934
27.8879376620 59.0937474452 8.13450374195
27.7686042786 58.9055900574 8.39847909673
27.6778004137 58.7660710660 8.59432323733
27.5554561615 58.5780906677 8.85819311753
27.4660834883 58.4443154701 9.04608015163
27.4537886108 58.4259121975 9.07192751627
27.3407325745 58.2566871643 9.19058878917
27.2514019615 58.1264648513 9.28190454358
27.1244335175 57.9413757324 9.41169453227
27.0350590863 57.8145317966 9.50064465656
26.9065570831 57.6321563721 9.62853659385
26.8171385699 57.5086443161 9.71515364797
26.6871032715 57.3290290833 9.84111497391
26.5976409936 57.2088047144 9.92542990314
26.4660739899 57.0319976807 10.0494269985
26.3765672746 56.9150144462 10.1314724021
26.3493245206 56.8794087882 10.1564441905
26.2434692383 56.7410583496 10.2467349849
26.1538317236 56.6271658703 10.3210066982
26.0192871094 56.4562149048 10.4324874665
25.9295063117 56.3453576700 10.5047217607
25.7935295105 56.1774597168 10.6141236431
25.7204656662 56.0898289566 10.6711756099
25.7035538599 56.0695454025 10.6773105002
25.5661945343 55.9048004150 10.7271386723
25.4754104071 55.7990834090 10.7589751991
25.3372840881 55.6382369995 10.8074138677
25.2456940186 55.5347313758 10.8384428102
25.1067981720 55.3777656555 10.8854980341
25.0144032873 55.2764866035 10.9157141940
24.9406133095 55.1956014005 10.9398459387
24.8747329712 55.1233863831 10.9542305276
24.7814152563 55.0242179322 10.9736792955
24.6410942078 54.8750991821 11.0029242413
24.5467969091 54.7780055615 11.0216524360
24.4058780670 54.6329078674 11.0496400407
24.3106032901 54.5379124347 11.0676409553
24.1690845490 54.3968086243 11.0943790580
24.0728353048 54.3039357359 11.1116457859
23.9307155609 54.1668014526 11.1371414972
23.8334942422 54.0760764964 11.1536667597
23.8047404799 54.0492440706 11.1585542007
23.6907711029 53.9428901672 11.1765037406
23.5925597657 53.8543156047 11.1910555465
23.4492492676 53.7250671387 11.2122896179
23.3500481942 53.6386688903 11.2260737268
23.3398873154 53.6298193678 11.2274855931
23.2061519623 53.5133438110 11.2321539851
23.1057809426 53.4289877121 11.2349364561
22.9614772797 53.3077087402 11.2389368216
22.9202913349 53.2743353199 11.2397861689
22.8598944617 53.2253950749 11.2361445727
22.7152271271 53.1081695557 11.2274219354
22.6123207356 53.0278437567 11.2208184446
22.4673995972 52.9147224426 11.2115188726
22.3631761576 52.8364299230 11.2044319357
22.2179965973 52.7273712158 11.1945600835
22.1124621104 52.6511531564 11.1869853296
21.9670181274 52.5461120605 11.1765460655
21.8601780653 52.4720101844 11.1684789652
21.7144622803 52.3709449768 11.1574765020
21.6063231776 52.2990015793 11.1489126277
21.4603290558 52.2018737793 11.1373508959
21.3508985239 52.1321252323 11.1282867706
21.2046203613 52.0388908386 11.1161705579
21.0939054857 51.9713806270 11.1066016903
20.9473361969 51.8820075989 11.0939339966
