CURVE 0
14.9066725482 41.1519876238 11.1028277077
14.9115121250 41.1550340661 11.1036559193
15.0170896213 41.2214935456 11.1217237211
15.0364198685 41.2336616516 11.1250672420
15.1246904146 41.2878556467 11.1405649174
15.1382013343 41.2961507207 11.1429370319
15.2502517700 41.3649444580 11.1579211023
15.3383890504 41.4177217613 11.1699138361
15.4644975662 41.4932365417 11.1870732704
15.5524806389 41.5446213836 11.1992461230
15.6791086197 41.6185760498 11.2167656720
15.7669106694 41.6685892493 11.2291092907
15.8940353394 41.7410011292 11.2469810654
15.9816299177 41.7896621096 11.2594863973
16.1092281342 41.8605461121 11.2777027992
16.1965895552 41.9078775502 11.2903604624
16.3246383667 41.9772529602 11.3089132597
16.4117401739 42.0232761051 11.3217139171
16.5402145386 42.0911598206 11.3405947691
16.6270329770 42.1358944975 11.3535299216
16.7559108734 42.2023010254 11.3727315483
16.8424202715 42.2457702333 11.3857917675
16.9716758728 42.3107185364 11.4053053293
17.0578517379 42.3529407722 11.4184821528
17.1874599457 42.4164428711 11.4383000506
17.2030830042 42.4239067701 11.4407184082
17.2732555807 42.4574316413 11.4538240153
17.4032154083 42.5195198059 11.4780956401
17.4595673272 42.5457681306 11.4887172857
17.4885673100 42.5592761172 11.4933082292
17.6188907623 42.6199798584 11.5139395382
17.7038361949 42.6585567055 11.5275181418
17.8344402313 42.7178688049 11.5483953142
17.9189554782 42.7552852666 11.5620328498
18.0498104095 42.8132171631 11.5831478421
18.1338744297 42.8494968203 11.5968365614
18.2649536133 42.9060668945 11.6181810813
18.3485450372 42.9412303217 11.6319135618
18.4798202515 42.9964523315 11.6534795816
18.5629188735 43.0305230473 11.6672482669
18.6943626404 43.0844154358 11.6890273025
18.7769472051 43.1174139581 11.7028248025
18.9085292816 43.1699905396 11.7248083741
18.9905804385 43.2019388202 11.7386275280
19.1222724915 43.2532157898 11.7608072609
19.2847827401 43.3140799178 11.7884966716
19.4352379912 43.3704291496 11.8141320840
19.5482883453 43.4127693176 11.8340482078
19.7084056595 43.4696823000 11.8626557222
19.8567382311 43.5224064484 11.8891577043
19.9720153809 43.5633811951 11.9078457748
20.1296713891 43.6165395423 11.9337568183
20.3930606842 43.7053489685 11.9770453143
20.5481668446 43.7549367906 12.0028693392
20.8110275269 43.8389739990 12.0466336925
20.9634530760 43.8851572255 12.0723234813
21.2255229950 43.9645614624 12.1164927226
21.3751429217 44.0075026204 12.1420026576
21.6361522675 44.0824127197 12.1865042931
21.6936653046 44.0980393435 12.1964179243
21.7828679801 44.1222762246 12.2107721997
22.0425205231 44.1928253174 12.2525548493
22.1862888939 44.2297891196 12.2759512997
22.3427307544 44.2700113602 12.3014101974
22.4442329407 44.2961082458 12.3176865965
22.5849729136 44.3302865326 12.3405021403
22.8409442902 44.3924484253 12.3819979998
22.9786411326 44.4238128290 12.4045757524
23.2324981689 44.4816360474 12.4461999557
23.3671485095 44.5101156179 12.4685480077
23.6187877655 44.5633392334 12.5103128272
23.7503894391 44.5888685558 12.5324388192
23.9451495681 44.6266499456 12.5651835476
