CURVE 0
47.5968689369 189.560021027 14.9069527945
46.4525385892 188.891327254 14.7720489059
45.6185663989 188.403992445 14.6751462171
44.5202824152 187.762206038 14.5476338785
43.6978747914 187.281629028 14.4527079286
42.6278022416 186.656328080 14.3132957788
41.8133683559 186.180410553 14.2140446718
40.7657221122 185.568214502 14.0951975239
39.9508255598 185.092026614 14.0037172454
38.9260637223 184.493203153 13.8985573393
38.0986913166 184.009724953 13.8148540237
37.0880101585 183.419129589 13.7017323077
36.5971756492 183.132308585 13.6431584432
36.2552628899 182.932510568 13.6023561947
35.2507938765 182.345545295 13.5008450300
34.4106976043 181.854631856 13.4108542539
33.4157702524 181.273242289 13.3094772770
32.5635161567 180.775224379 13.2247414037
32.1163673401 180.513931274 13.1806162343
31.5936868589 180.190950739 13.1280525336
30.7311747218 179.657977648 13.0408796283
29.8211016932 179.095615202 12.9483641268
28.9015800244 178.527414148 12.8568057136
28.0474698223 177.999632874 12.7734299408
27.7718260384 177.829304002 12.7468856778
27.0630363948 177.391320823 12.6786298353
26.2576691077 176.893659314 12.6091634387
25.7219257355 176.562606812 12.5612141230
25.2282074249 176.232247079 12.5157131443
24.5318939026 175.766325633 12.4576973525
23.4082118765 175.014440831 12.3644299940
22.8293810974 174.627130137 12.3221293028
22.1045323579 174.142115036 12.2677416758
21.5769217510 173.789077089 12.2281534315
21.1068600350 173.474546597 12.2010788609
20.2381191254 172.893249512 12.1455416387
19.7560650758 172.541641128 12.1133615252
19.4315389507 172.304933011 12.0970049838
18.6621725144 171.743760069 12.0485818584
17.9479478167 171.222807301 12.0036292968
17.8158416748 171.126449585 11.9982011431
17.7891840732 171.105542840 11.9970385002
16.6784936757 170.234462196 11.9821520404
16.3783769271 169.999089772 11.9674893125
16.2069135995 169.864616308 11.9591121722
16.1337100455 169.807204990 11.9556328947
15.5949916840 169.384704590 11.9370750712
14.6630898607 168.588957644 11.8923392065
14.2895980695 168.270034614 11.8796185497
14.2669099441 168.250661322 11.8788458209
13.5668258667 167.652862549 11.8534629000
13.1283351492 167.239852329 11.8305182629
12.3835797254 166.538374306 11.8302232403
12.3312344062 166.489070750 11.8302025046
11.7225980759 165.915802002 11.8237377861
11.6511035651 165.840520146 11.8218515242
10.6499984786 164.786382584 11.8557430927
10.3348106685 164.454498036 11.8664135102
10.1818156806 164.293398302 11.8742835235
10.0535669327 164.158355713 11.8777895822
9.08595495518 163.003742716 11.8876926125
8.55098724365 162.365386963 11.8931677427
8.11364201696 161.765848745 11.8881741938
8.06784469928 161.703067124 11.8887614657
7.99180251652 161.598824087 11.8910395752
7.68500950223 161.178254419 11.8863203153
