CURVE 0
35.7242948300 199.876288947 1.5398640197e-05
35.1535846954 198.887790029 0.824722557011
34.5455671416 197.834672768 1.69694655190
33.9825091469 196.859427746 2.47865251766
33.3469245422 195.758562954 3.35532772584
32.8094019075 194.827546470 4.06362764988
32.1203309066 193.634040525 4.95983339555
31.6238800417 192.774162432 5.56547155064
30.8678376567 191.464658651 6.48226765763
30.6279039802 191.049081346 6.75376956793
30.3895088006 190.636168796 7.01499627870
29.9889121787 189.942315116 7.46366029679
29.5819513092 189.237438237 7.89534031856
29.3373887754 188.813843516 8.13573505799
29.0987652632 188.400535482 8.36380762535
28.6706893595 187.659086292 8.78858511620
28.2261985164 186.889205593 9.20186599663
27.9946981576 186.488235223 9.39624668597
27.7807280246 186.117628093 9.57160787740
27.3103792862 185.302960207 9.97464399565
26.8001459367 184.419210151 10.3889306032
26.6146449768 184.097913074 10.5075687917
26.4567823957 183.824487072 10.6048822160
25.8995364281 182.859308775 10.9582585172
25.5376981604 182.232586532 11.1839669647
25.2427907939 181.721792006 11.3679250746
25.1781949153 181.609908666 11.3947427675
25.1277907244 181.522606049 11.4141308518
24.4328621335 180.318954461 11.6943258043
23.7991296015 179.221297553 11.9344073265
23.6774779687 179.010590751 11.9843760071
23.5178794959 178.734158096 12.0457463248
22.9117521120 177.684314706 12.1374849736
22.4778932097 176.932849068 12.1908777538
22.1337482263 176.336772491 12.2423313507
21.6322848135 175.468212410 12.3075260868
21.3475112683 174.974970177 12.2732807067
21.1541508847 174.640060179 12.2492062511
20.5605698736 173.611947743 12.1897528306
19.8413512997 172.366224672 12.1079057997
19.7554404226 172.217422672 12.1000398477
19.6166693997 171.977064218 12.0838489586
18.9622211268 170.843526595 11.8589140884
18.5224136224 170.081757677 11.7516319579
18.1449870847 169.428035758 11.6614603931
17.5488647240 168.395521576 11.5205746747
17.3135942625 167.988021196 11.4147360596
17.1414076261 167.689785203 11.3489412945
16.4749993490 166.535532246 11.0880836789
15.6548413114 165.114976901 10.8456762151
15.5824707599 164.989627433 10.8239794343
15.4790762488 164.810542892 10.8009750239
14.6854534928 163.435948001 10.4862481277
14.0365272236 162.311974769 10.3059248519
13.7364766794 161.792271999 10.2130836255
13.3789912818 161.173089147 10.1674943722
12.7814210364 160.138067155 9.95128063517
12.0857815525 158.933184264 9.87689552142
11.4400312235 157.814711921 9.78003575724
10.4619338710 156.120597667 9.70582802326
10.1122768021 155.514973878 9.73471035561
9.47078792542 154.403882587 9.75302888565
8.93112591477 153.469160596 9.83639854633
8.53403094293 152.781371952 9.88684687338
7.72098649249 151.373137701 10.0811485533
7.64886019814 151.248211298 10.0975999594
7.48261982203 150.960274530 10.1537618116
6.76207811828 149.712259731 10.3000436107
6.49569375211 149.250868489 10.3832126644
5.90462682625 148.227110576 10.5482741425
5.28247781238 147.149516909 10.7885671843
5.09114164365 146.818112954 10.8594789340
4.73413898985 146.199766240 11.0146440833
