CURVE 0
11.1139123415 -16.6331453330 0.0580159831116
11.9826561075 -16.1723980565 1.63051625011
12.8483990385 -15.6558195440 3.20170876071
13.6774190509 -15.1028359756 4.71785116911
14.4955324468 -14.4955324657 6.23305618823
15.2749501379 -13.8536102844 7.70269620069
16.0358054543 -13.1602454503 9.17171059624
16.7563729927 -12.4344596292 10.6048160877
17.4512978978 -11.6605844806 12.0375640962
18.1038643832 -10.8561331718 13.4420872922
18.7243117220 -10.0083531508 14.8464909317
19.3010096794 -9.13223139458 16.2308072607
19.8396726116 -8.21786149224 17.6152214713
20.3323894368 -7.27706772014 18.9863000670
20.7820945022 -6.30417947021 20.3576819886
21.1846151232 -5.30712912032 21.7230237644
21.5398173370 -4.28453609198 23.0888699381
21.8455210088 -3.23981957423 24.4552209591
22.1005606718 -2.17671526229 25.8222797011
22.3048981102 -1.0937717971 27.1968070811
22.4562533583 -2.79073841952e-08 28.5722549621
22.5545433760 1.11139712790 29.9621371596
22.5982843096 2.22573670597 31.3531693129
22.5876259259 3.35537542979 32.7658331292
22.5222516626 4.47995436644 34.1799011128
22.4000939911 5.61739651037 35.6235535612
22.2236864406 6.74148154733 37.0688994756
21.9889143318 7.87600099636 38.5519852978
21.7018374939 8.98919538481 40.0370999318
21.3539446271 10.1100924145 41.5695958192
20.9564789037 11.2014713089 43.1045367152
20.4962791012 12.2979299004 44.6968672336
19.9904532560 13.3571937804 46.2920219820
19.7101626220 13.8933353165 47.1241516731
19.4191182580 14.4183499452 47.9569814239
19.1178582219 14.9320982510 48.7904734665
18.8069205719 15.4344408184 49.6245900328
18.4715413698 15.9480827196 50.4986475180
18.1267585764 16.4489054828 51.3733050072
17.7731899689 16.9367490365 52.2485191364
17.4114533250 17.4114533093 53.1242465419
17.0220120937 17.8974046757 54.0477945425
16.6249061462 18.3683933841 54.9718138242
16.2208709554 18.8243020115 55.8962536082
15.8105671081 19.2652317471 56.8210631157
15.3690839473 19.7167332387 57.8024968098
14.9218777793 20.1516131454 58.7842288223
14.4696335367 20.5699920767 59.7661985289
14.0130361521 20.9719906419 60.7483453052
13.5215621047 21.3832046842 61.7969679254
13.0267408293 21.7760346541 62.8456494960
12.5294056588 22.1506272926 63.8943162574
12.0303493932 22.5072006468 64.9428944502
11.4921495234 22.8711370948 66.0709421058
10.9533359505 23.2150179593 67.1987099575
10.4145901037 23.5392414434 68.3261061276
9.87659341234 23.8442057504 69.4530387387
9.29517216062 24.1534289667 70.6737305972
8.71629857093 24.4410062637 71.8936531268
8.14083785306 24.7074465579 73.1126893760
7.56950658793 24.9533190643 74.3307223933
6.95017292470 25.1992592771 75.6611696121
6.33704515161 25.4219702108 76.9901248986
5.73078026214 25.6221466726 78.3174353975
5.13203524975 25.8004834703 79.6429482535
4.48094098960 25.9727392745 81.1031459012
3.84064944065 26.1201899320 82.5607638722
3.21173538185 26.2437105669 84.0155968677
2.59466659095 26.3440919812 85.4674395885
1.92144701146 26.4296675592 87.0818138619
1.26417696054 26.4885657648 88.6919342961
0.623507452107 26.5218758695 90.2975166520
2.43829123558e-11 26.5306417557 91.8983281531
-0.681905601817 26.5120619773 93.6980475084
-1.34102523633 26.4642667204 95.4937118566
-1.97684345130 26.3882444116 97.2866367082
-2.58884490418 26.2849834035 99.0781376109
-2.92740026450 26.2141723091 100.100854925
-3.25797485497 26.1349122073 101.123789377
-3.58050118942 26.0473267602 102.147187787
-3.89491178164 25.9515396297 103.171296972
-4.20113914544 25.8476744780 104.196363751
-4.49911579463 25.7358549672 105.222634941
-4.78877424301 25.6162047593 106.250357362
-5.07004700438 25.4888475163 107.279777830
-5.38538989596 25.3317918770 108.475033100
-5.68929855436 25.1646819880 109.673283575
-5.98168127891 24.9876394669 110.874913234
-6.26244612281 24.8007860702 112.080306059
-6.53150113923 24.6042435547 113.289846029
-6.78875438136 24.3981336770 114.503917125
-7.03411390237 24.1825781939 115.722903326
-7.26749043843 23.9577052475 116.947188614
-7.52705169620 23.6808781263 118.397448892
-7.76969813129 23.3913824731 119.856232058
-7.99526903536 23.0893050751 121.324166752
-8.20360370002 22.7747327198 122.801881611
-8.39454141691 22.4477521946 124.290005275
-8.56792147767 22.1084502869 125.789166382
-8.72358317394 21.7569137840 127.299993571
-8.86136579734 21.3932294734 128.823115480
-9.00313129632 20.9399870862 130.671630044
-9.11853769163 20.4694591773 132.539920373
-9.20730563446 19.9817966035 134.429079189
-9.26912262332 19.4770598275 136.340432093
-9.28981359881 19.2182659255 137.304862226
-9.30364560353 18.9552053475 138.275229123
-9.31058354373 18.6878918175 139.251605209
-9.31059232567 18.4163390597 140.234062910
-9.30363685559 18.1405607981 141.222674651
-9.28968203973 17.8605707569 142.217512859
-9.26869278436 17.5763826601 143.218649959
-9.24063399570 17.2880102319 144.226158376
-9.19632042718 16.9270942379 145.475806811
-9.14136271897 16.5602824057 146.732606131
-9.07589114780 16.1878844913 147.994555212
-9.00002770497 15.8101840104 149.259812610
-8.91389438180 15.4274644784 150.526536879
-8.81761316959 15.0400094109 151.792886574
-8.71130605966 14.6481023233 153.057020249
-8.59509504333 14.2520267311 154.317096460
-8.46910253709 13.8520659053 155.571273762
-8.33347003867 13.4484873084 156.817710708
-8.18835982569 13.0415346500 158.054565854
-8.03393437792 12.6314498444 159.279997754
-7.87035617513 12.2184748057 160.492164964
-7.6977876971 11.8028514482 161.689226038
-7.51639142360 11.3848216861 162.869339531
-7.32632983442 10.9646274337 164.030663997
-7.07245829334 10.4277072640 165.476984684
-6.80520110727 9.88815311744 166.886181227
-6.52494525828 9.34639477307 168.254470405
-6.23207929448 8.8028575872 169.578069000
-5.92699176396 8.25796691614 170.853193793
-5.62978346238 7.74609768285 172.0
-5.61007121482 7.71214811619 172.076061563
-5.28170619514 7.16582654366 173.242889091
-4.94228039596 6.61944012164 174.349893158
-4.59218916019 6.07341542205 175.393290544
-4.23186691669 5.52809872494 176.369298029
-3.86175011571 4.98383180547 177.274132395
-3.48227520749 4.44095643883 178.104010421
-3.09387864228 3.89981440020 178.855148889
-2.69699687031 3.36074746476 179.523764579
-2.29206634185 2.82409740768 180.106074270
-2.08671918462 2.55678551327 180.363682111
-1.87952350712 2.29020600414 180.598294745
-1.65131889545 2.00011471253 180.827575065
-1.42104786503 1.71100245851 181.028279984
-1.18878136429 1.42292480034 181.199794510
-0.954590341699 1.13593729628 181.341503650
-0.718545745684 0.850095504582 181.452792413
-0.480718524694 0.565454983521 181.533045805
-0.241179627174 0.282071291357 181.581648835
-0.120790471104 0.140868118068 181.593889278
8.15522049413e-16 -1.57123026283e-08 181.597986510
0.120790471104 -0.140868149492 181.593889278
0.241179627174 -0.282071322782 181.581648835
0.480718524694 -0.565455014946 181.533045805
0.718545745684 -0.850095536006 181.452792413
0.954590341699 -1.1359373277 181.341503650
1.18878136429 -1.42292483176 181.199794510
1.42104786503 -1.71100248994 181.028279984
1.65131889545 -2.00011474396 180.827575065
1.87952350712 -2.29020603556 180.598294745
2.08671918462 -2.55678554469 180.363682111
2.29206634185 -2.82409743910 180.106074270
2.69699687031 -3.36074749618 179.523764579
3.09387864228 -3.89981443163 178.855148889
3.48227520749 -4.44095647026 178.104010421
3.86175011571 -4.98383183690 177.274132395
4.23186691669 -5.52809875636 176.369298029
4.59218916019 -6.07341545348 175.393290544
4.94228039596 -6.61944015306 174.349893158
5.28170619514 -7.16582657508 173.242889091
5.61007121482 -7.71214814761 172.076061563
5.62978346238 -7.74609771428 172.0
5.92699176396 -8.25796694756 170.853193793
6.23207929448 -8.80285761862 169.578069000
6.52494525828 -9.34639480450 168.254470405
6.80520110727 -9.88815314887 166.886181227
7.07245829334 -10.4277072954 165.476984684
7.32632983442 -10.9646274651 164.030663997
7.51639142360 -11.3848217175 162.869339531
7.6977876971 -11.8028514796 161.689226038
7.87035617513 -12.2184748371 160.492164964
8.03393437792 -12.6314498758 159.279997754
8.18835982569 -13.0415346814 158.054565854
8.33347003867 -13.4484873398 156.817710708
8.46910253709 -13.8520659367 155.571273762
8.59509504333 -14.2520267626 154.317096460
8.71130605966 -14.6481023547 153.057020249
8.81761316959 -15.0400094423 151.792886574
8.91389438180 -15.4274645099 150.526536879
9.00002770497 -15.8101840419 149.259812610
9.07589114780 -16.1878845228 147.994555212
9.14136271897 -16.5602824371 146.732606131
9.19632042718 -16.9270942694 145.475806811
9.24063399570 -17.2880102633 144.226158376
9.26869278436 -17.5763826915 143.218649959
9.28968203973 -17.8605707883 142.217512859
9.30363685559 -18.1405608296 141.222674651
